Source File Name:	Scan
Signal:	FFT - Vib Velocity - Magnitude

Frequency	Magnitude
[ Hz ]	[ m/s ]
6.25	2.799818e-11
12.5	5.927234e-11
18.75	5.535308e-11
25	5.540302e-11
31.25	4.733041e-11
37.5	6.898043e-11
43.75	5.61954e-11
50	5.563147e-11
56.25	6.247154e-11
62.5	5.78964e-11
68.75	6.141648e-11
75	6.173288e-11
81.25	5.838374e-11
87.5	6.406987e-11
93.75	6.370226e-11
100	6.649588e-11
106.25	6.405699e-11
112.5	7.330129e-11
118.75	6.352535e-11
125	6.705804e-11
131.25	6.248593e-11
137.5	7.564729e-11
143.75	6.811876e-11
150	7.06963e-11
156.25	9.151666e-11
162.5	8.475198e-11
168.75	8.196119e-11
175	9.751339e-11
181.25	7.886368e-11
187.5	8.199259e-11
193.75	1.028506e-10
200	6.842769e-11
206.25	7.044221e-11
212.5	1.174564e-10
218.75	1.164017e-10
225	7.085636e-11
231.25	1.009438e-10
237.5	1.744795e-10
243.75	7.921749e-11
250	7.415858e-11
256.25	1.550016e-10
262.5	1.355239e-10
268.75	1.91562e-10
275	1.265052e-10
281.25	1.744178e-10
287.5	1.484388e-10
293.75	1.483365e-10
300	1.322172e-10
306.25	1.294681e-10
312.5	2.855825e-10
318.75	3.241707e-10
325	1.417186e-10
331.25	2.079571e-10
337.5	1.378766e-10
343.75	3.578715e-10
350	1.614257e-10
356.25	2.175348e-10
362.5	4.399623e-10
368.75	3.129204e-10
375	6.855493e-10
381.25	1.987316e-10
387.5	4.006131e-10
393.75	3.126659e-10
400	3.181413e-10
406.25	7.182536e-10
412.5	4.196661e-10
418.75	2.381347e-10
425	1.032492e-9
431.25	5.763329e-10
437.5	7.741705e-10
443.75	1.217269e-9
450	1.290264e-9
456.25	1.339711e-9
462.5	9.814234e-10
468.75	7.231452e-10
475	3.956316e-10
481.25	4.533772e-10
487.5	5.6864e-10
493.75	1.070648e-9
500	2.65783e-10
506.25	2.619264e-10
512.5	1.788809e-10
518.75	2.774638e-10
525	3.713402e-10
531.25	2.717692e-10
537.5	5.231512e-10
543.75	4.930049e-10
550	3.600852e-10
556.25	4.088047e-10
562.5	3.754478e-10
568.75	9.989483e-11
575	2.358054e-10
581.25	1.514843e-10
587.5	5.165596e-10
593.75	1.226075e-10
600	2.944968e-10
606.25	2.591623e-10
612.5	3.123825e-10
618.75	2.79459e-10
625	1.982636e-10
631.25	1.545567e-10
637.5	1.791128e-10
643.75	2.674503e-10
650	2.341945e-10
656.25	1.221462e-10
662.5	2.182196e-10
668.75	1.53242e-10
675	2.866675e-10
681.25	2.51602e-10
687.5	2.14627e-10
693.75	1.741155e-10
700	2.017754e-10
706.25	2.138318e-10
712.5	2.109972e-10
718.75	2.105395e-10
725	2.157031e-10
731.25	2.203403e-10
737.5	2.341084e-10
743.75	2.188314e-10
750	2.49778e-10
756.25	2.382002e-10
762.5	2.04067e-10
768.75	2.648227e-10
775	2.311256e-10
781.25	2.413674e-10
787.5	2.32052e-10
793.75	2.066458e-10
800	2.503233e-10
806.25	3.412333e-10
812.5	1.970528e-10
818.75	2.192676e-10
825	2.654009e-10
831.25	3.083603e-10
837.5	3.022793e-10
843.75	3.068539e-10
850	2.84451e-10
856.25	3.26207e-10
862.5	3.1467e-10
868.75	3.009287e-10
875	3.059973e-10
881.25	3.173401e-10
887.5	3.266507e-10
893.75	3.302749e-10
900	3.600081e-10
906.25	3.27699e-10
912.5	4.003901e-10
918.75	3.503239e-10
925	3.192026e-10
931.25	2.858769e-10
937.5	3.471964e-10
943.75	3.250792e-10
950	1.976648e-10
956.25	5.94732e-11
962.5	6.638696e-10
968.75	3.004895e-10
975	3.908244e-10
981.25	3.685668e-10
987.5	6.343841e-10
993.75	4.657839e-10
1000	3.693302e-10
1006.25	6.804075e-10
1012.5	7.697128e-10
1018.75	1.472896e-10
1025	4.556642e-10
1031.25	8.231155e-10
1037.5	6.328421e-10
1043.75	2.245645e-10
1050	2.73061e-10
1056.25	6.714988e-10
1062.5	7.691448e-10
1068.75	1.050349e-9
1075	2.497642e-11
1081.25	5.679761e-10
1087.5	1.164219e-10
1093.75	1.243442e-9
1100	8.682849e-10
1106.25	1.686552e-9
1112.5	1.464708e-9
1118.75	9.354505e-10
1125	1.379572e-9
1131.25	8.423677e-10
1137.5	1.144794e-9
1143.75	1.681197e-9
1150	1.221878e-9
1156.25	1.15719e-9
1162.5	1.754048e-9
1168.75	3.079677e-9
1175	1.52823e-9
1181.25	2.030838e-9
1187.5	6.418951e-10
1193.75	1.421449e-9
1200	7.748223e-10
1206.25	2.387062e-9
1212.5	1.215981e-9
1218.75	2.971415e-9
1225	3.196596e-10
1231.25	4.078752e-10
1237.5	1.573156e-9
1243.75	3.021973e-9
1250	3.693164e-9
1256.25	2.706894e-9
1262.5	2.537177e-9
1268.75	1.154671e-9
1275	3.922764e-9
1281.25	2.56265e-9
1287.5	2.272365e-9
1293.75	1.608903e-9
1300	2.400362e-9
1306.25	2.927701e-9
1312.5	9.742106e-10
1318.75	5.034863e-9
1325	3.310358e-9
1331.25	1.060242e-9
1337.5	1.603521e-9
1343.75	3.60537e-9
1350	5.775187e-9
1356.25	6.262016e-9
1362.5	2.781018e-9
1368.75	5.310081e-9
1375	4.609995e-9
1381.25	6.770183e-9
1387.5	4.814259e-9
1393.75	7.477207e-9
1400	1.352094e-9
1406.25	5.470093e-9
1412.5	2.752745e-9
1418.75	5.688642e-9
1425	2.637863e-9
1431.25	1.094449e-8
1437.5	8.482306e-9
1443.75	7.371753e-9
1450	8.717397e-9
1456.25	9.159654e-9
1462.5	4.751838e-9
1468.75	7.204529e-9
1475	9.666214e-9
1481.25	4.708113e-9
1487.5	1.074151e-8
1493.75	8.123095e-9
1500	8.323623e-9
1506.25	1.003983e-8
1512.5	6.105809e-9
1518.75	4.447912e-9
1525	6.184641e-9
1531.25	1.257967e-8
1537.5	5.784943e-9
1543.75	2.433742e-9
1550	3.928469e-9
1556.25	2.946984e-9
1562.5	4.599314e-9
1568.75	9.108637e-9
1575	4.652726e-9
1581.25	1.27989e-8
1587.5	3.049467e-9
1593.75	5.261954e-9
1600	2.42175e-9
1606.25	4.63903e-9
1612.5	4.117623e-9
1618.75	7.093186e-9
1625	5.299202e-9
1631.25	1.58947e-8
1637.5	1.300218e-8
1643.75	3.59315e-9
1650	2.106235e-9
1656.25	1.034319e-8
1662.5	5.572169e-9
1668.75	4.422072e-9
1675	7.99078e-9
1681.25	2.644725e-9
1687.5	1.560599e-8
1693.75	1.689324e-9
1700	5.804378e-9
1706.25	1.236594e-8
1712.5	1.243028e-8
1718.75	9.230464e-9
1725	1.678374e-9
1731.25	1.093921e-8
1737.5	6.594117e-9
1743.75	1.933462e-8
1750	1.623392e-9
1756.25	2.349713e-9
1762.5	8.317784e-9
1768.75	6.606765e-9
1775	5.76795e-9
1781.25	6.241534e-9
1787.5	1.756563e-8
1793.75	6.916142e-9
1800	7.893295e-9
1806.25	9.878725e-9
1812.5	1.939674e-8
1818.75	7.784927e-9
1825	1.974164e-8
1831.25	2.665644e-8
1837.5	3.211071e-8
1843.75	9.217124e-9
1850	1.067868e-9
1856.25	5.433857e-9
1862.5	2.308767e-8
1868.75	1.675154e-8
1875	8.372066e-9
1881.25	2.430103e-8
1887.5	9.842419e-9
1893.75	6.847746e-9
1900	7.271714e-9
1906.25	2.455376e-8
1912.5	2.056805e-8
1918.75	1.080259e-8
1925	9.386297e-9
1931.25	9.101416e-9
1937.5	1.295056e-8
1943.75	1.215262e-8
1950	1.915986e-8
1956.25	2.197688e-8
1962.5	6.251874e-9
1968.75	1.635835e-8
1975	1.561994e-8
1981.25	2.034639e-8
1987.5	6.3724e-9
1993.75	1.177109e-8
2000	7.827255e-9
2006.25	4.827169e-9
2012.5	1.739741e-8
2018.75	1.136458e-8
2025	4.254951e-9
2031.25	3.531947e-9
2037.5	2.008326e-8
2043.75	6.159283e-9
2050	7.783792e-9
2056.25	2.801934e-8
2062.5	4.333677e-9
2068.75	2.845218e-8
2075	2.710591e-8
2081.25	3.054297e-8
2087.5	9.511357e-9
2093.75	8.371027e-9
2100	7.063271e-9
2106.25	1.573399e-8
2112.5	8.402224e-9
2118.75	1.895149e-8
2125	2.629517e-8
2131.25	1.004109e-8
2137.5	2.265659e-8
2143.75	3.532323e-8
2150	3.311403e-8
2156.25	6.746971e-9
2162.5	1.649129e-8
2168.75	9.412465e-9
2175	3.246338e-8
2181.25	1.165676e-8
2187.5	2.075042e-8
2193.75	1.594878e-8
2200	2.006709e-8
2206.25	5.514218e-9
2212.5	1.202791e-8
2218.75	3.674415e-9
2225	8.864756e-9
2231.25	2.512401e-8
2237.5	5.371424e-9
2243.75	1.601861e-8
2250	2.781065e-8
2256.25	2.55906e-8
2262.5	2.883557e-8
2268.75	2.7939e-8
2275	1.104824e-8
2281.25	2.208371e-8
2287.5	2.398468e-8
2293.75	1.771677e-8
2300	1.775973e-8
2306.25	3.607136e-8
2312.5	1.115791e-8
2318.75	3.553493e-8
2325	2.228552e-8
2331.25	2.659964e-8
2337.5	8.524837e-9
2343.75	1.266045e-8
2350	4.897005e-8
2356.25	6.730621e-8
2362.5	8.905932e-8
2368.75	5.515226e-8
2375	1.993518e-8
2381.25	7.883716e-9
2387.5	4.671497e-8
2393.75	1.160399e-8
2400	9.095849e-9
2406.25	1.007216e-7
2412.5	2.52183e-8
2418.75	3.036392e-8
2425	1.616345e-8
2431.25	2.426716e-8
2437.5	3.989985e-8
2443.75	3.79647e-8
2450	2.455493e-8
2456.25	3.162457e-8
2462.5	2.383954e-8
2468.75	2.850637e-9
2475	2.746118e-8
2481.25	9.944985e-9
2487.5	6.57337e-9
2493.75	1.379072e-8
2500	1.050477e-8
2506.25	9.788049e-9
2512.5	6.902004e-9
2518.75	2.300339e-8
2525	1.812787e-8
2531.25	1.831443e-8
2537.5	1.712882e-8
2543.75	1.261195e-8
2550	2.59032e-8
2556.25	2.660151e-8
2562.5	2.32976e-8
2568.75	7.578616e-9
2575	1.959475e-8
2581.25	2.151581e-8
2587.5	1.371057e-8
2593.75	9.640194e-9
2600	1.568977e-8
2606.25	1.819069e-8
2612.5	2.178149e-8
2618.75	2.948428e-8
2625	6.097963e-9
2631.25	2.704169e-8
